Team Name,Region,Game
  SCARZ,Asia,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  SunSister,Asia,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  ZETA DIVISION,Asia,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
6N Team,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  ALPHA Legends,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  Arab Madness,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  Cryptics,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  Elites United Team,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  FATE Esports,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  FRAG Machines,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  Falcons Esports,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  Gunz Esports,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  HeadQuarters,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  Kurd Squad,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  LiveToKill,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  ME Assassins,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  North AmericaSR Esports,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  Nigma Galaxy,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  RTG Esports,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  Rico Infinity Esports,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  SWAT69,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  Sixty Nine Team,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  Team RA'AD,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  The Real Deal,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  The Snipers,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
  YaLLa Esports,Africa,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile
BDS Esport,EU,Call of Duty
 London Royal Ravens,EU,Call of Duty
 Paris Legion,EU,Call of Duty
 RØKKR Academy,EU,Call of Duty
 Team Singularity,EU,Call of Duty
Atlanta FaZe,North America,Call of Duty
 Boston Breach,North America,Call of Duty
 Built by Gamers,North America,Call of Duty
 EastR,North America,Call of Duty
 Florida Mutineers,North America,Call of Duty
 Los Angeles Guerrillas,North America,Call of Duty
 Los Angeles Thieves,North America,Call of Duty
 Minnesota RØKKR,North America,Call of Duty
 New York Subliners,North America,Call of Duty
 OpTic Texas,North America,Call of Duty
 Seattle Surge,North America,Call of Duty
 Team WaR,North America,Call of Duty
 Toronto Ultra,North America,Call of Duty
 Triumph,North America,Call of Duty
 UYU,North America,Call of Duty
 WestR,North America,Call of Duty
Alpha Esports,SA,Call of Duty
 Masters Ecuador,SA,Call of Duty
 Skull Cracker,SA,Call of Duty
 Team Smog,SA,Call of Duty
Mindfreak,Oceania,Call of Duty
 Renegades,Oceania,Call of Duty
 VOID,Oceania,Call of Duty
Bravado Gaming,Africa,Call of Duty
00 Nation DNB,EU,Rocket League
  AW3 Esports,EU,Rocket League
  Atlantide Wave,EU,Rocket League
  BS+COMPETITION,EU,Rocket League
  Coconutters,EU,Rocket League
  Dignitas,EU,Rocket League
  Edelweiss Esports,EU,Rocket League
  Endpoint CeX,EU,Rocket League
  Evil Geniuses,EU,Rocket League
  FC Barcelona,EU,Rocket League
  Guild Esports,EU,Rocket League
  Karmine Corp,EU,Rocket League
  Misfits Gaming,EU,Rocket League
  Mustu Fluck,EU,Rocket League
  Rix.GG,EU,Rocket League
  SK Gaming,EU,Rocket League
  SMPR Esports,EU,Rocket League
  Solary,EU,Rocket League
  Team BDS,EU,Rocket League
  Team Liquid,EU,Rocket League
  Team Queso,EU,Rocket League
  Team Singularity,EU,Rocket League
  Team Vitality,EU,Rocket League
  Williams Resolve,EU,Rocket League
  Wolves Esports,EU,Rocket League
72PC,North America,Rocket League
  AllMid,North America,Rocket League
  Buckos,North America,Rocket League
  Charlotte Phoenix,North America,Rocket League
  Complexity Gaming,North America,Rocket League
  eUnited,North America,Rocket League
  FaZe Clan,North America,Rocket League
  G2 Esports,North America,Rocket League
  Ghost Gaming,North America,Rocket League
  The General NRG,North America,Rocket League
  Oxygen Esports,North America,Rocket League
  Pittsburgh Knights,North America,Rocket League
  Randoms,North America,Rocket League
  Rogue,North America,Rocket League
  Shopify Rebellion,North America,Rocket League
  Spacestation Gaming,North America,Rocket League
  Speakeasy,North America,Rocket League
  Susquehanna Soniqs,North America,Rocket League
  Team .EXE,North America,Rocket League
  Team Envy,North America,Rocket League
  Torrent,North America,Rocket League
  Version1,North America,Rocket League
  XSET,North America,Rocket League
Juicd Bandits,Oceania,Rocket League
  Dire Wolves,Oceania,Rocket League
  Gaming Gamers,Oceania,Rocket League
  Ground Zero Gaming,Oceania,Rocket League
  Pioneers,Oceania,Rocket League
  R!OT Gaming,Oceania,Rocket League
  Renegades,Oceania,Rocket League
  Team Bliss,Oceania,Rocket League
Dream Conspiracy,SA,Rocket League
  eRa Eternity,SA,Rocket League
  Elevate,SA,Rocket League
  EndGame,SA,Rocket League
  Erased,SA,Rocket League
  FURIA Esports,SA,Rocket League
  InControl Nation,SA,Rocket League
  Leviatán,SA,Rocket League
  Flow Nocturns Gaming,SA,Rocket League
  Papo de Visão,SA,Rocket League
  Ruby,SA,Rocket League
  True Neutral,SA,Rocket League
  Vegas Inferno,SA,Rocket League
ANKAA,Africa,Rocket League
  Falcons Esports,Africa,Rocket League
  Nameless,Africa,Rocket League
  Revolution,Africa,Rocket League
  SCYTES,Africa,Rocket League
  Sandrock Gaming,Africa,Rocket League
  The Evil eSports,Africa,Rocket League
  The Ultimates,Africa,Rocket League
AIPX Gaming,Africa,Rocket League
  ATK,Africa,Rocket League
  Bravado Gaming,Africa,Rocket League
  Lost Legion Giants,Africa,Rocket League
  Orlando Pirates Exdee,Africa,Rocket League
Aloha,Asia,Rocket League
  DeToNator,Asia,Rocket League
  Nimmt55,Asia,Rocket League
  Parabellum Esports,Asia,Rocket League
  Team GanDerS,Asia,Rocket League
  Tokyo Verdy Esports,Asia,Rocket League
  Xayfhers,Asia,Rocket League
Asia and Pacific South,Asia,Rocket League
  3RATS,Asia,Rocket League
  Asia Manji,Asia,Rocket League
  Frost Esports,Asia,Rocket League
BLVKHVND,North America,Halo
 Built By Gamers,North America,Halo
 Cloud9,North America,Halo
 Complexity Gaming,North America,Halo
 Esports Arena Blue,North America,Halo
 Esports Arena Red,North America,Halo
 eUnited,North America,Halo
 Falling Esports,North America,Halo
 FaZe Clan,North America,Halo
 Final Boss,North America,Halo
 Fnatic,North America,Halo
 G2 Esports,North America,Halo
 Gamers First,North America,Halo
 OpTic Gaming,North America,Halo
 Oxygen Esports,North America,Halo
 Pioneers,North America,Halo
 Sentinels,North America,Halo
 Shopify Rebellion,North America,Halo
 Spacestation Gaming,North America,Halo
 Status Quo,North America,Halo
 The Guard,North America,Halo
 Torrent,North America,Halo
 VANDYL,North America,Halo
 XSET,North America,Halo
Altar Esports,SA,Halo
 Fire N Ice Esports,SA,Halo
 Pittsburgh Knights,SA,Halo
 Rebel,SA,Halo
 Team Cruelty,SA,Halo
 Timbers Esports,SA,Halo
Chiefs Esports Club,Oceania,Halo
 Dire Wolves,Oceania,Halo
 Divine Mind,Oceania,Halo
 Mindfreak,Oceania,Halo
 Team Immunity,Oceania,Halo
Eternal Faith,,WarCraft III
EwOk,,WarCraft III
Clan France,,WarCraft III
FrenchCraft,,WarCraft III
Global Clan,,WarCraft III
Hot Emo 1337,,WarCraft III
InFernales,,WarCraft III
Kings of Azeroth order,,WarCraft III
Lightning7,,WarCraft III
Les Reprouves,,WarCraft III
Pandaren Gaming,,WarCraft III
Playing Ducks,,WarCraft III
Power Rangers,,WarCraft III
RAPTOR Gaming,,WarCraft III
Rocket Beans,,WarCraft III
sp4rtans,,WarCraft III
second class Poles,,WarCraft III
Sun Gaming,,WarCraft III
uMaD Gaming,,WarCraft III
Washed Up,,WarCraft III
Zero Effort,,WarCraft III
Dragon Roar,,WarCraft III
Economics,,WarCraft III
Fight Guy Go Come on,,WarCraft III
Xiao Huang Ya Zi,,WarCraft III
Me We,,WarCraft III
Mountain Kings,,WarCraft III
Perfect Show,,WarCraft III
Team SiLence,,WarCraft III
Team SiLence.Elite,,WarCraft III
Team SiLence.Treasure Boy,,WarCraft III
Team SiLence.UnFriend,,WarCraft III
Warcraft Friend,,WarCraft III
Youth,,WarCraft III
Afreeca Freecs,,WarCraft III
LP Club,,WarCraft III
cowana Gaming,,WarCraft III
DuSt Gaming,,WarCraft III
KPI Gaming,,WarCraft III
mousesports,,WarCraft III
No Limit Gaming,,WarCraft III
Oceanus Gaming,,WarCraft III
RAGE Esports,,WarCraft III
Thunder Ducks,,WarCraft III
Timocka Esports,,WarCraft III
The JuNgLe TeaM,,WarCraft III
30k,North America,Heroes of the Storm
  30k(2),North America,Heroes of the Storm
  Blunt Force Fun,North America,Heroes of the Storm
  Broken Alliance,North America,Heroes of the Storm
  Chilly Mountain,North America,Heroes of the Storm
  Chilly Mountain Academy,North America,Heroes of the Storm
  Endemic Esports,North America,Heroes of the Storm
  ImprobaBull Victory,North America,Heroes of the Storm
  Inting for Globes,North America,Heroes of the Storm
  Juan Direction,North America,Heroes of the Storm
  LFM Esports,North America,Heroes of the Storm
  No Tomorrow,North America,Heroes of the Storm
  Order of the Sleeping Dragon,North America,Heroes of the Storm
  Oxygen Esports,North America,Heroes of the Storm
  PSISTORM Gaming,North America,Heroes of the Storm
  ReGen,North America,Heroes of the Storm
  Rouge et Au,North America,Heroes of the Storm
  STORM Esports,North America,Heroes of the Storm
  Scythe Esports,North America,Heroes of the Storm
  Sidestep Kings,North America,Heroes of the Storm
  Simplicity,North America,Heroes of the Storm
  Team Caliber,North America,Heroes of the Storm
  Team Good Guys,North America,Heroes of the Storm
  Tempo Storm,North America,Heroes of the Storm
  This Is Jimmy,North America,Heroes of the Storm
  VGM Gaming,North America,Heroes of the Storm
  WildHeart,North America,Heroes of the Storm
Appetizing,EU,Heroes of the Storm
  ArthasStroitHram,EU,Heroes of the Storm
  Black Queen,EU,Heroes of the Storm
  Devils,EU,Heroes of the Storm
  Diamond Hands,EU,Heroes of the Storm
  Dragons,EU,Heroes of the Storm
  ePunks,EU,Heroes of the Storm
  Falcons,EU,Heroes of the Storm
  Flavia Felix,EU,Heroes of the Storm
  GoogleIshetZont,EU,Heroes of the Storm
  Granit Gaming,EU,Heroes of the Storm
  Holy Bananas,EU,Heroes of the Storm
  Inting for Ruby,EU,Heroes of the Storm
  Leftovers,EU,Heroes of the Storm
  mYinsanity,EU,Heroes of the Storm
  Mantic0re,EU,Heroes of the Storm
  Memeldors Meme Machines,EU,Heroes of the Storm
  Monkey Menagerie,EU,Heroes of the Storm
  pepeMLADY,EU,Heroes of the Storm
  Please Buff Illidan,EU,Heroes of the Storm
  Power Spike,EU,Heroes of the Storm
  Rage & Quit Gaming,EU,Heroes of the Storm
  Roll20 esports,EU,Heroes of the Storm
  SoundLess,EU,Heroes of the Storm
  Belgium,EU,Heroes of the Storm
  Czech Republic,EU,Heroes of the Storm
  Denmark,EU,Heroes of the Storm
  Finland,EU,Heroes of the Storm
  France,EU,Heroes of the Storm
  Germany,EU,Heroes of the Storm
  Hungary,EU,Heroes of the Storm
  Italy,EU,Heroes of the Storm
  Netherlands,EU,Heroes of the Storm
  Norway,EU,Heroes of the Storm
  Poland,EU,Heroes of the Storm
  Portugal,EU,Heroes of the Storm
  Slovakia,EU,Heroes of the Storm
  Spain,EU,Heroes of the Storm
  Sweden,EU,Heroes of the Storm
  Turkey,EU,Heroes of the Storm
  Ukraine,EU,Heroes of the Storm
  United Kingdom,EU,Heroes of the Storm
  The Donuts,EU,Heroes of the Storm
  The Hardos,EU,Heroes of the Storm
  Unicorns,EU,Heroes of the Storm
  Wurst And,EU,Heroes of the Storm
Ballistix,Asia,Heroes of the Storm
  BlossoM,Asia,Heroes of the Storm
  Supernova,Asia,Heroes of the Storm
  Team Feliz,Asia,Heroes of the Storm
  Tempest,Asia,Heroes of the Storm
Luna Meow,Asia,Heroes of the Storm
Mirrmaid,Asia,Heroes of the Storm
A-Team,China,Heroes of the Storm
  Beyond The Game,China,Heroes of the Storm
  Chall Enge,China,Heroes of the Storm
  KT,China,Heroes of the Storm
  KiTN,China,Heroes of the Storm
  RPG,China,Heroes of the Storm
  Super Perfect Team,China,Heroes of the Storm
  Team Nut,China,Heroes of the Storm
  TheOne,China,Heroes of the Storm
  Tsunami,China,Heroes of the Storm
Aztech Entertainment,Oceania,Heroes of the Storm
  Crimson Gaming,Oceania,Heroes of the Storm
  EmproX,Oceania,Heroes of the Storm
  Impenetrable Hill,Oceania,Heroes of the Storm
  Mindfreak,Oceania,Heroes of the Storm
  Morton's Monkeys,Oceania,Heroes of the Storm
  Pleb2Pro,Oceania,Heroes of the Storm
  REEality,Oceania,Heroes of the Storm
  Twisted Vision,Oceania,Heroes of the Storm
  Xylophone,Oceania,Heroes of the Storm
Air Force ACE,,StarCraft: Brood War 
CJ Entus,,StarCraft: Brood War 
KT Rolster,,StarCraft: Brood War 
Samsung KHAN,,StarCraft: Brood War 
SK Telecom T1,,StarCraft: Brood War 
STX SouL,,StarCraft: Brood War 
Woongjin Stars,,StarCraft: Brood War 
Team 8,,StarCraft: Brood War 
AddFriend,EU,Overwatch
AWW YEAH,EU,Overwatch
Falcons Esport EU,EU,Overwatch
Granit Gaming,EU,Overwatch
Munich eSports,EU,Overwatch
Raspberry Racers,EU,Overwatch
RIP,EU,Overwatch
Sheer Cold,EU,Overwatch
Shu's Money Crew EU,EU,Overwatch
Altiora,North America,Overwatch
Dice Gaming,North America,Overwatch
Drifters,North America,Overwatch
G-Force,North America,Overwatch
Solaris,North America,Overwatch
Third Impact,North America,Overwatch
Uprising Academy,North America,Overwatch
WISP,North America,Overwatch
Gen.G esports,Asia,Overwatch
Incendia Evolution,Asia,Overwatch
JNGK,Asia,Overwatch
O2 Blast,Asia,Overwatch
SLT,Asia,Overwatch
T1,Asia,Overwatch
Talon Esports,Asia,Overwatch
Team BM,Asia,Overwatch
Team Diamond,Asia,Overwatch
tiger nation,Asia,Overwatch
WILL BE,Asia,Overwatch
World Game Star Phoenix,Asia,Overwatch
01_esports,CIS,Overwatch
Falcons Esport,CIS,Overwatch
Osh-Tekk Warriors,CIS,Overwatch
The Ultimates,CIS,Overwatch
Bilibili Gaming,China,Overwatch
Team Chaser,China,Overwatch
The One Winner,China,Overwatch
Team CC,China,Overwatch
Time Resume,China,Overwatch
UP Academy,China,Overwatch
Dire Wolves,Oceania,Overwatch
Ground Zero Gaming,Oceania,Overwatch
Mindfreak,Oceania,Overwatch
Warriors Esports,Oceania,Overwatch
Accelerated Evolution,North America,Hearthstone
Circa eSports,North America,Hearthstone
Cloud9,North America,Hearthstone
Complexity Gaming,North America,Hearthstone
Kyoto eSports,North America,Hearthstone
NRG Esports,North America,Hearthstone
ROOT Gaming,North America,Hearthstone
Splyce,North America,Hearthstone
Team AGG,North America,Hearthstone
Team Archon,North America,Hearthstone
Team Ascension,North America,Hearthstone
Team SoloMid,North America,Hearthstone
Tempo Storm,North America,Hearthstone
Team SoliD,North America,Hearthstone
Team Oplon,EU,Hearthstone
ENCE eSports,EU,Hearthstone
Cologne Gaming Network,EU,Hearthstone
Dark Tigers,EU,Hearthstone
Epiphany Bolt,EU,Hearthstone
Nuit Blanche,EU,Hearthstone
AceBreakers EU,EU,Hearthstone
Team BX3,EU,Hearthstone
Comrade Gaming,EU,Hearthstone
Zone eSports,EU,Hearthstone
Meet Your Makers,EU,Hearthstone
Tricked eSport,EU,Hearthstone
PeeKee Faction,EU,Hearthstone
eSuba,EU,Hearthstone
Sector One,EU,Hearthstone
Team MiA,EU,Hearthstone
Planetkey Dynamics,EU,Hearthstone
PENTA Sports,EU,Hearthstone
eEriness,EU,Hearthstone
Team Wildcard,EU,Hearthstone
Team Empire,EU,Hearthstone
Copenhagen Wolves,EU,Hearthstone
Team Dignitas,EU,Hearthstone
CPLAY Tt eSports,EU,Hearthstone
Fnatic,EU,Hearthstone
Team Lucky Draw,EU,Hearthstone
GamersOrigin,EU,Hearthstone
Play5,EU,Hearthstone
Millenium,EU,Hearthstone
Pink Ward,EU,Hearthstone
Vega Squadron,EU,Hearthstone
Dactylion eSport,EU,Hearthstone
Team Refuse,EU,Hearthstone
Delirium Tremens,EU,Hearthstone
Method,EU,Hearthstone
Team Darkstar,EU,Hearthstone
Eliteam,EU,Hearthstone
SK Gaming,EU,Hearthstone
Klan Dark Venom,EU,Hearthstone
Razor's Edge Gaming,EU,Hearthstone
Punchline ESC,EU,Hearthstone
Team Liquid,EU,Hearthstone
SFH-Gaming,EU,Hearthstone
Samsung Gaming eSports,EU,Hearthstone
H2k Gaming,EU,Hearthstone
wSystem e-Sports Club,EU,Hearthstone
Infected Gaming,EU,Hearthstone
NoMERCY,EU,Hearthstone
LowLandLions,EU,Hearthstone
Team Infused,EU,Hearthstone
Template:Team/wolves,EU,Hearthstone
Black Ravens,EU,Hearthstone
MadCorps,EU,Hearthstone
RUZ3. Gaming,EU,Hearthstone
Playing Ducks,EU,Hearthstone
Team Renegade,EU,Hearthstone
Elysium Gaming,EU,Hearthstone
Stone Templars,EU,Hearthstone
On Top,EU,Hearthstone
Flow Esports,EU,Hearthstone
Qualitas Helvetica,EU,Hearthstone
RELAPSE Gaming,EU,Hearthstone
Team HoP eSports Crew,EU,Hearthstone
Supernova eSports,EU,Hearthstone
Resurgence,Asia,Hearthstone
ManaSurge,Asia,Hearthstone
Abyssus,Asia,Hearthstone
M8 Gaming,Asia,Hearthstone
Big3,Asia,Hearthstone
All-Killers,Asia,Hearthstone
Invictus Gaming,Asia,Hearthstone
World Elite,Asia,Hearthstone
Vici Gaming,Asia,Hearthstone
Golden Coin,Asia,Hearthstone
Hong Kong Attitude,Asia,Hearthstone
yoe Flash Wolves,Asia,Hearthstone
Team Magicamy,Asia,Hearthstone
Newbee,Asia,Hearthstone
Team DouyuTV,Asia,Hearthstone
An Phat Ultimate,Asia,Hearthstone
EDward Gaming,Asia,Hearthstone
Wayi Spider,Asia,Hearthstone
Aracne Esports,SA,Hearthstone
Independent,Asia,Shadowverse
Independent,Asia,Shadowverse
Independent,EU,chess24
Independent,North America,chess24
Independent,North America,chess24
Independent,Asia,Auto Chess
Independent,North America,Painkiller
Independent,North America,Quake Champions
Independent,North America,Super Smash Bros. Melee
Independent,Asia,Street Fighter V
Independent,North America,Street Fighter V
Independent,North America,Madden NFL 2013
Independent,North America,Mortal Kombat X
Independent,SA,Magic: The Gathering Arena
Independent,CIS,FIFA
Independent,EU,FIFA
Independent,EU,FIFA
Independent,EU,FIFA
Digital Chaos,NA,Dota 2
